id,name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
231111,Mint Ice Cream Cake,496887,coookingchick,,PT15M,PT15M,2007-05-29T12:50:00Z,I made this delicious ice cream cake for my sister's birthday. It was SO yummy and a real hit. You can really use any kind of ice cream in this cake and you can use a graham cracker crust instead of Oreo.,character(0),Frozen Desserts,"c(""Dessert"", ""< 15 Mins"", ""Easy"")","c(""2 -3"", ""20"", ""2"", ""15 -20"", ""1"")","c(""butter"", ""mint chocolate chip ice cream"")",4.0,1.0,264.0,10.5,4.4,6.7,219.6,42.9,1.7,18.3,2.8,,,"c(""Mix butter and crushed Oreos in a small bowl."", ""Press into the bottom of a round cheesecake pan (A glass pan would work too)."", ""Spread ice cream on top of the crust."", ""Cover with plastic wrap and freeze until solid (about 5 hours in the deep freeze or 6-7 hours in the regular freezer)."", ""Cut into wedges, drizzle syrup on top and top with Andes Candies."")"
78021,Awesome Chocolate Chip Streusel Coffee Cake,89831,Kittencalrecipezazz,PT1H,PT20M,PT1H20M,2003-12-05T20:01:00Z,This is another winner from my 5 star collection...you really won't find a more buttery and moist cake...rises very high too.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/78/02/1/picstmlOg.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/78/02/1/picR2DbLn.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/78/02/1/picQdWysP.jpg"")",Breads,"c(""Weeknight"", ""< 4 Hours"")","c(""2 1/2"", ""3"", ""1"", ""1/4"", ""1"", ""1"", ""3"", ""1"", ""2"", ""1"", ""1"", ""1/2"", ""2"")","c(""flour"", ""baking powder"", ""baking soda"", ""salt"", ""butter"", ""sugar"", ""eggs"", ""sour cream"", ""vanilla"", ""brown sugar"", ""cinnamon"")",4.5,3.0,794.0,46.6,24.0,153.0,694.4,88.6,4.2,51.2,11.4,,,"c(""Set oven to 350 degrees."", ""Grease a tube pan (angel food cake pan)."", ""Mix together all streusel ingredients; set aside."", ""Sift together the first 4 ingredients."", ""In a bowl cream the butter, sugar and eggs, until light and fluffy."", ""Mix together the dry ingredients with the cream mixture alternately with the sour cream; beat well."", ""Add vanilla; beat."", ""Pour 1/2 of batter into prepared pan."", ""Sprinkle with 1/2 of the streusel mix."", ""Add the remaining cake batter over the streusel."", ""Sprinkle with remaining streusel mix."", 
""Bake for 1 hour."")"
362759,Aunt Carol's Chocolate Sheet Cake,1207433,otoro,PT15M,PT10M,PT25M,2009-03-25T02:10:00Z,"This is my Aunt Carol's chocolate sheet cake recipe that I updated with chocolate ganache. We slice this cake up like brownies and bring to the family reunion every summer. I recommend serving this chilled. This cooks very fast so check it with a toothpick early, you don't want to over bake it.",character(0),Dessert,"c(""Low Protein"", ""< 30 Mins"", ""For Large Groups"")","c(""2"", ""2"", ""1/2"", ""2"", ""1"", ""1/2"", ""8"", ""1"", ""4"", ""1/4"", ""16"", ""16"")","c(""all-purpose flour"", ""granulated sugar"", ""salt"", ""eggs"", ""baking soda"", ""sour cream"", ""unsalted butter"", ""water"", ""cocoa powder"", ""chocolate chips"", ""bittersweet chocolate"")",,,406.1,26.1,16.1,105.5,188.9,41.4,0.9,26.8,3.8,,,"c(""Grease and flour a cookie sheet and preheat oven to 400ºF."", ""In a small bowl, mix the eggs, baking soda and sour cream."", ""In a mixing bowl, add the flour, sugar and salt, stir to combine."", ""In a medium saucepan, combine the butter, water and cocoa powder, heat and stir to combine."", ""Add cocoa mixture to flour/sugar, blend with mixer. Add egg mixture and beat 1 minute. Stir in chocolate chips if desired. Put in cookie sheet and bake 14-20 minutes."", ""When the cake is out of the oven, put the cream in a saucepan and heat to simmer."", 
""Add chocolate to the bowl of a food processor."", ""Once the cream is heated, pour into food processor and let sit 4 minutes."", ""Pulse a few times then process 5-10 seconds to smooth out the mixture."", ""Transfer ganache to a non-plastic bowl. For a glaze style ganache, top cake now. For a lighter, fluffier \""frosting\"", refrigerate 1-2 hours, whip in mixer, then top the cake. Top with walnuts, optional."", ""Refrigerate the cake at least an hour before serving."")"
540167,Jennifer's Cottage Cheese Pancakes,1020526,AmyZoe,PT10M,PT5M,PT15M,2020-04-23T20:51:00Z,"These were terrific.  I doubled the recipe, and I'm so glad I did because they disappeared.  I threw all the ingredients in the blender which made it even faster and easier.  Recipe courtesy of allrecipes.com and Jennifer.  Serving size is estimated.",character(0),Breakfast,"c(""< 15 Mins"", ""Easy"")","c(""1"", ""1/3"", ""2"", ""3"")","c(""cottage cheese"", ""all-purpose flour"", ""eggs"")",,,203.1,12.7,3.0,148.4,244.6,10.0,0.3,1.6,11.6,4.0,,"c(""Combine cottage cheese, flour, oil, and eggs in a large bowl."", ""Heat a large skillet over medium heat, and add butter to the pan."", ""Once butter is melted (your desired amount so it doesn't stick), pour 1/3 cupfuls of batter onto the skillet, and cook until the bubbles appear on the surface."", ""Flip with a spatula, and cook until browned on the other side."")"
94843,Individual Chocolate Mousse Cakes,80353,evelynathens,PT20M,PT20M,PT40M,2004-07-02T20:00:00Z,Make and share this Individual Chocolate Mousse Cakes recipe from Food.com.,character(0),Dessert,"c(""Free Of..."", ""< 60 Mins"", ""Oven"")","c(""14"", ""1 1/4"", ""1"", ""1/4"", ""6"", ""1/2"", NA)","c(""bittersweet chocolate"", ""ground cinnamon"", ""Grand Marnier"", ""eggs"", ""golden brown sugar"")",,,145.6,11.7,6.5,139.7,46.8,6.9,0.1,6.0,3.7,12.0,,"c(""Preheat oven to 350F."", ""Butter and flour 12 ¾-cup custard cups."", ""Stir chocolate in bowl set over simmering water until smooth."", ""Remove."", ""Cool to lukewarm, about 10 minutes."", ""Using mixer, beat cream and cinnamon in medium bowl until soft peaks form."", ""Add liqueur; beat until stiff peaks form."", ""Beat eggs and brown sugar in large bowl until very light, about 5-6 minutes."", ""Gradually beat chocolate into egg mixture, then fold in cream mixture."", ""Divide batter among prepared cups."", ""Set cups in large roasting pan."", 
""Add enough hot water to come halfway up sides of cups."", ""Bake until tops of cakes look dry, about 18 minutes."", ""Transfer cups to racks; cool cakes completely."", ""Cut around edges to loosen."", ""Turn out onto plates and serve with a dollop of whipped cream on the side."")"
476076,Apple-Cream Cheese Bundt Cake,118840,Pinay0618,PT1H30M,PT40M,PT2H10M,2012-03-11T14:47:00Z,Make and share this Apple-Cream Cheese Bundt Cake recipe from Food.com.,character(0),Dessert,"""< 4 Hours""","c(""1"", ""1/4"", ""1/2"", ""1"", ""2"", ""1"", ""1"", ""3"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1"", ""1/2"", ""3"", ""3/4"", ""3/4"", ""1"", ""3"", ""1/2"", ""1/4"", ""3"", ""1"", ""1"")","c(""cream cheese"", ""butter"", ""granulated sugar"", ""egg"", ""all-purpose flour"", ""vanilla extract"", ""pecans"", ""all-purpose flour"", ""granulated sugar"", ""light brown sugar"", ""ground cinnamon"", ""salt"", ""baking soda"", ""ground nutmeg"", ""ground allspice"", ""eggs"", ""canola oil"", ""applesauce"", ""vanilla extract"", ""gala apples"", ""light brown sugar"", ""butter"", ""milk"", ""vanilla extract"", ""powdered sugar"")",5.0,2.0,732.1,36.5,10.8,103.7,466.3,96.7,2.9,65.6,7.8,12.0,,"c(""Prepare Filling: Beat first 3 ingredients at medium speed with an electric mixer until blended and smooth. Add egg, flour, and vanilla; beat just until blended."", ""Prepare Batter: Preheat oven to 350º. Bake pecans in a shallow pan 8 to 10 minutes or until toasted and fragrant, stirring halfway through. Stir together 3 cups flour and next 7 ingredients in a large bowl; stir in eggs and next 3 ingredients, stirring just until dry ingredients are moistened. Stir in apples and pecans."", ""Spoon two-thirds of apple mixture into a greased and floured 14-cup Bundt pan. Spoon Cream Cheese Filling over apple mixture, leaving a 1-inch border around edges of pan. Swirl filling through apple mixture using a paring knife. Spoon remaining apple mixture over Cream Cheese Filling."", 
""Bake at 350º for 1 hour to 1 hour and 15 minutes or until a long wooden pick inserted in center comes out clean. Cool cake in pan on a wire rack 15 minutes; remove from pan to wire rack, and cool completely (about 2 hours)."", ""Prepare Frosting: Bring 1/2 cup brown sugar, 1/4 cup butter, and 3 tablespoons milk to a boil in a 2-qt. saucepan over medium heat, whisking constantly; boil 1 minute, whisking constantly. Remove from heat; stir in vanilla. Gradually whisk in powdered sugar until smooth; stir gently 3 to 5 minutes or until mixture begins to cool and thickens slightly. Pour immediately over cooled cake.""
)"
67715,Country Chocolate Fudge Cake with Buttercream Ribbon,95044,MSnow,PT55M,PT30M,PT1H25M,2003-07-28T20:02:00Z,Make and share this Country Chocolate Fudge Cake with Buttercream Ribbon recipe from Food.com.,character(0),Dessert,"c(""Kid Friendly"", ""Weeknight"", ""For Large Groups"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1"", ""1/4"", ""3"", ""2"", ""1"", ""1/2"", ""4"", ""1/2"", ""2"", ""2"", ""2"", ""1"", ""1/2"", ""1/4"", ""1 1/3"", ""1"", ""2"", ""1/4"", ""3 1/2"", ""1/3"", ""1"")","c(""cream cheese"", ""egg"", ""sugar"", ""milk"", ""butter"", ""margarine"", ""cornstarch"", ""vanilla extract"", ""butter"", ""margarine"", ""sugar"", ""eggs"", ""all-purpose flour"", ""baking powder"", ""baking soda"", ""salt"", ""milk"", ""vanilla extract"", ""butter"", ""margarine"", ""powdered sugar"", ""milk"", ""vanilla extract"")",,,528.4,24.2,14.8,91.6,258.2,76.5,2.3,57.7,6.7,15.0,,"c(""Combine cream cheese, 1 egg, and 1/4 cup sugar in a medium mixing bowl; beat at high speed of an electric mixer until smooth."", ""Gradually add 3 tablespoons milk and next 3 ingredients, beating well.  Set aside."", ""Place chocolate squares in top of a double boiler; bring water to a boil.  Reduce heat to low; cook until chocolate melts, stirring occasionally.  Remove from heat and let cool."", ""Cream 1/2 cup butter; gradually add 2 cups sugar, beating well at medium speed."", ""Add 2 eggs, one at a time, beating well after each addition."", 
""Combine flour, baking power, soda, and salt; stir well."", ""Add flour mixture to creamed mixture alternately with 1 1/3 cups milk, beginning and ending with flour mixture.  Mix after each addition."", ""Stir in melted chocolate and 1 teaspoon vanilla."", ""Spread half of chocolate batter in a greased and floured 13x9x2-inch baking pan."", ""Spoon reserved cream cheese mixture evenly over chocolate batter; top with remaining half of chocolate batter."", ""Bake at 350 for 55 to 60 minutes or until a wooden pick inserted in center comes out clean.  Let cool completely in pan on a wire rack."", 
""Spread frosting over cake."", ""FROSTING: Combine chocolate and butter in top of a double boiler; bring water to a boil.  Reduce heat to low; cook until chocolate and butter melt, stirring occasionally."", ""Remove mixture from heat and let cool."", ""Add powdered sugar and milk to chocolate mixture, beating at medium speed of an electric mixer until smooth."", ""Stir in vanilla."", ""Yield: 2 cups."")"
165950,Sweet Dreams Crunch Cherry Dump Cake,206101,Recipe Junkie,PT1H,PT5M,PT1H5M,2006-04-27T08:27:00Z,Make and share this Sweet Dreams Crunch Cherry Dump Cake recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/59/50/picEWXFWk.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/59/50/pichUWwNT.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/59/50/picFy7It1.jpg"")",Dessert,"c(""Low Protein"", ""< 4 Hours"", ""Easy"")","c(""1"", NA, ""1"", ""1/2"")","c(""cherry pie filling"", ""lemon juice"", ""butter"")",4.5,5.0,307.4,12.4,5.6,20.3,348.0,47.3,0.7,23.4,2.2,12.0,,"c(""Spread filling in lightly greased 9x13 inch pan."", ""Sprinkle with lemon juice."", ""Beat cake mix and butter in mixer bowl until well mixed."", ""Crumble over pie filling and juice mixture."", ""Bake at 325 for 1 hour or until golden brown."", ""Cool 15 minutes before serving."")"
225407,Low-Fat Pumpkin Pancakes,437449,aslerch,PT15M,PT10M,PT25M,2007-04-30T17:52:00Z,Make and share this Low-Fat Pumpkin Pancakes recipe from Food.com.,character(0),Breakfast,"c(""Healthy"", ""< 30 Mins"")","c(""1 1/4"", ""1"", ""2"", ""1/2"", ""1/2"", ""1/2"", ""1/8"", ""1/8"", ""1"", ""6"", ""2"", ""1"")","c(""whole wheat flour"", ""sugar"", ""baking powder"", ""cinnamon"", ""ground ginger"", ""salt"", ""nutmeg"", ""ground cloves"", ""unsweetened soymilk"", ""pumpkin puree"", ""unsweetened applesauce"", ""egg"")",,,99.5,1.6,0.3,26.4,262.9,18.0,2.9,1.9,4.8,8.0,,"c(""Whisk dry and wet ingredients separately."", ""Fold wet ingredients into dry"", ""Spray nonstick pan with olive oil spray."", ""Pour in 1/3 cup batter for each pancake."", ""Cook pancakes about three minutes per side."", ""Serve with butter and syrup."")"
82584,Easy Coffee Cake 1965,106624,andypandy,PT35M,PT10M,PT45M,2004-01-30T20:01:00Z,Make and share this Easy Coffee Cake 1965 recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/82/58/4/picbON3BJ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/82/58/4/picqbJ7zD.jpg"")",Breads,"c(""Lunch/Snacks"", ""Low Cholesterol"", ""< 60 Mins"")","c(""3/4"", ""1"", ""2 1/2"", ""1/2"", ""3/4"", ""1/2"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1/2"")","c(""canola oil"", ""brown sugar"", ""all-purpose flour"", ""salt"", ""granulated sugar"", ""ground nutmeg"", ""cinnamon"", ""buttermilk"", ""baking soda"", ""egg"", ""baking powder"")",5.0,1.0,348.8,14.5,1.3,16.3,295.5,51.8,0.8,31.4,3.9,12.0,,"c(""Pour oil over the brown sugar."", ""Sift flour, salt, granulated sugar, nutmeg, and cinnamon in a large bowl."", ""Stir in the brown sugar mixture."", ""Reserve 1/2 cup of the combined mixture and set aside for topping."", ""Add buttermilk, soda, egg and baking powder to the remaining brown sugar/flour mixture."", ""Combine well."", ""Pour into a greased 7 x 10 inch pan."", ""Sprinkle with the reserved topping mixture and the nuts."", ""Bake for 30 minutes at 350 degrees preheated oven."", ""Cut into squares, serve warm, or at room temp."", 
""with whipped cream if desired."")"
